'Configuration Parameter:;"Decimal separator: , List separator: ; ";Layout Version V6.2;WinCC Version K7.0.3.5
'Var Version V1.0;
'Varname;Conn;Group;Spec;Flag;CTyp;CLen;CPro;CFor;P1;P2;P3;P4;P5;P6;L1;L2;L3;L4;L5;L6;L7;L8;LF1;LF2;LF3;LF4;SCF;SPU;SPO;SVU;SVO;Creator-ID
ZRU6_ZRU6_EvalPar_Cell3_PM130_Uab;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400389";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Ubc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400391";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Uca;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400393";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Pa;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400395";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Pb;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400397";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Pc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400399";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Qa;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400401";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Qb;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400403";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Qc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400405";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Sa;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400407";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Sb;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400409";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Sc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400411";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_f;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400413";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_cosa;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400415";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_cosb;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400417";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_cosc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400419";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Phase_Shift_Ua;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400421";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Phase_Shift_Ub;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400423";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Phase_Shift_Uc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400425";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Mean_Ia;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400427";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Mean_Ib;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400429";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Mean_Ic;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400431";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_P;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400433";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_Q;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400435";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell3_PM130_S;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400437";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell4_PM130_Ia;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400441";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell4_PM130_Ib;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400443";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell4_PM130_Ic;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400445";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell4_PM130_Ua;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400447";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell4_PM130_Ub;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400449";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell4_PM130_Uc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400451";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell4_PM130_Uab;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400453";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell4_PM130_Ubc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400455";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell4_PM130_Uca;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400457";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell4_PM130_Pa;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400459";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
